label(0-irrelevant, 1-time, 2-location,3-both)	holder	date	context
0	0__13	2018.09.15 星期六22:15	 沒問題啊
0	H__12	2018.09.15 星期六22:15	 從台東回來的票~
0	H__12	2018.09.15 星期六22:15	 9/30
0	0__13	2018.09.15 星期六22:15	 台東？
0	0__13	2018.09.15 星期六22:16	 你可以告訴我你想買什麼票嗎？
0	H__12	2018.09.15 星期六22:16	 火車票 車次431或425~
0	0__13	2018.09.15 星期六22:16	 喔喔
0	0__13	2018.09.15 星期六22:17	 貼圖
0	0__13	2018.09.15 星期六22:17	 沒問題
0	H__12	2018.09.15 星期六22:18	 😍😍😍
0	H__12	2018.09.15 星期六22:18	 太感恩❤️
0	H__12	2018.09.15 星期六22:31	 啊忘了說
0	H__12	2018.09.15 星期六22:31	 我是要3張喔><
0	0__13	2018.09.15 星期六22:35	 從新竹到台東？
0	吳__4	2018.09.15 星期六22:36	 那個好像要身分證號?
0	0__13	2018.09.15 星期六22:37	 嗯嗯
0	H__12	2018.09.15 星期六22:37	 那可以一次很多人用我爸的身分證搶嗎～
0	吳__4	2018.09.15 星期六22:38	 單程票從台東到新竹?
0	H__12	2018.09.15 星期六22:40	 是從台東到松山～
0	0__13	2018.09.15 星期六22:40	 好像取票要用身分證正本
0	0__13	2018.09.15 星期六22:40	 我的放在美國...
0	H__12	2018.09.15 星期六22:41	 J120636541
0	0__13	2018.09.15 星期六22:41	 喔喔
0	H__12	2018.09.15 星期六22:41	 不然用網友爸的身分證訂呢~
0	H__12	2018.09.15 星期六22:41	 我
0	0__13	2018.09.15 星期六22:41	 Okok
0	H__12	2018.09.15 星期六23:05	 貼圖
0	H__12	2018.09.15 星期六23:54	 準備ㄌㄨㄛ😍
0	0__13	2018.09.15 星期六23:54	 貼圖
0	0__13	2018.09.16 星期日00:01	 沒搶到...
0	吳__4	2018.09.16 星期日00:01	 喜拔剌~
0	0__13	2018.09.16 星期日00:01	 尷尬😳
0	吳__4	2018.09.16 星期日00:01	 無剩餘座位
0	H__12	2018.09.16 星期日00:01	 我也是嗚嗚～
0	0__13	2018.09.16 星期日00:02	 太扯了吧...
0	H__12	2018.09.16 星期日00:05	 我也覺得😭
0	0__13	2018.09.16 星期日00:06	 都不知道台東回台北這麼熱門
0	H__12	2018.09.16 星期日00:14	 嘿呀😭
0	H__12	2018.09.16 星期日12:55	 有人到了嗎～
0	0__13	2018.09.16 星期日12:56	 我在雙連
0	吳__4	2018.09.16 星期日12:56	 雙聯
0	H__12	2018.09.16 星期日12:57	 我要在上面還下面等你們～
0	0__13	2018.09.16 星期日12:58	 京站地下入口？
0	0__13	2018.09.16 星期日12:58	 可以嗎？
0	H__12	2018.09.16 星期日12:58	 ？
0	H__12	2018.09.16 星期日12:58	 為什麼是在那呀？
0	0__13	2018.09.16 星期日12:59	 感覺很好找
0	H__12	2018.09.16 星期日12:59	 直接在M8不行嗎~
0	0__13	2018.09.16 星期日12:59	 那也好
0	H__12	2018.09.16 星期日13:00	 圖片
0	H__12	2018.09.16 星期日13:00	 在這等你們～
0	0__13	2018.09.16 星期日13:00	 Ok
0	H__12	2018.09.16 星期日14:50	 圖片
0	H__12	2018.09.16 星期日14:50	 圖片
0	H__12	2018.09.16 星期日14:50	 圖片
0	H__12	2018.09.16 星期日14:50	 影片
0	H__12	2018.09.16 星期日14:50	 圖片
